-4.2933,4.7834
-3.9877,4.0065
-3.9288,4.8792
-3.9236,5.6456
-4.0823,5.7181
-3.1566,4.2302
-3.5888,4.5463
-3.7613,4.405
-4.3767,4.4595
-3.5159,4.2823
-3.8435,5.6857
-4.6182,4.4933
-3.9746,5.5718
-4.0452,5.0351
-3.6908,4.103
-3.5338,4.2695
-3.7848,4.4577
-3.6952,5.3137
-3.3937,4.5635
-4.1222,5.2624
-3.7977,4.4358
-4.1881,4.3144
-4.0578,4.3179
-4.307,5.3161
-4.4553,4.8706
-3.7228,4.2792
-4.652,4.0602
-3.2554,4.3426
-3.4796,4.5832
-3.8683,4.1753
-3.8281,4.2591
-3.2885,4.5351
-3.8134,4.3534
-4.765,4.418
-4.4764,4.8399
-3.7385,4.0381
-4.8363,4.2187
-3.9311,5.5519
-4.3266,4.7338
-4.2846,4.0425
-4.0569,5.8678
-4.1,4.5191
-3.5672,4.2633
-4.7614,4.1404
-3.7233,5.0298
-3.5902,4.3079
-4.0492,4.3147
-4.6615,4.4922
-4.5924,4.0108
-3.9374,5.5964
-3.5936,4.3989
-4.5332,4.8137
-3.7619,4.0755
-3.9484,4.9582
-4.4985,4.0815
-3.8419,5.4149
-4.1727,5.1578
-4.0609,4.0286
-3.767,5.3725
-4.5759,4.1563
-3.6709,5.1899
-4.4246,4.75
-3.4997,4.8161
-3.6792,4.3627
-4.1588,4.7412
-4.198,4.459
-4.105,4.3334
-3.3636,4.5566
-3.8633,5.1756
-4.6814,4.229
-3.185,4.0329
-3.823,5.5426
-4.2683,4.7332
-4.1216,4.799
-3.8041,5.5434
-4.324,4.4809
-4.0376,4.5162
-0.12488,3.2861
-0.11132,3.7996
0.16902,3.5718
0.15988,3.5001
-0.031386,3.9985
0.087832,3.0005
0.52777,3.8187
0.019881,3.3061
-0.039691,4.7863
0.09552,4.441
0.36888,3.2705
0.092452,4.6471
0.23288,4.1575
-0.26092,3.7554
-0.087455,4.7136
-0.50808,3.5365
0.82602,3.0488
-0.18569,4.1892
0.43887,3.9879
0.47104,3.6662
0.14508,3.6466
0.36168,4.0383
-0.0045785,3.8342
-0.15103,4.3105
0.20262,3.6843
-0.23592,3.7483
0.21255,3.7015
-0.011378,4.9115
0.11096,3.2662
0.080565,3.4226
-0.56975,3.049
-0.045736,4.6449
0.23026,3.1675
0.47745,3.3686
0.095085,4.0379
4.1474,5.378
3.9867,5.2446
3.9551,4.3243
4.5083,4.0074
4.68,4.1936
3.3382,4.0332
